nom,definition_operationnelle,structure_cognitive_typique,indices_linguistiques_contextuels,contexte_rhetorique_typique,critere_de_validation,exemple_positif,exemple_faux_positif,mise_en_garde
Effet de contexte,Tendance à voir son jugement influencé par l'environnement immédiat plutôt que par les qualités objectives de l'information.,Le jugement sur un objet change en fonction du cadre ou de la situation présentée.,"""Selon la situation"", ""Dans ce contexte"", ""Vu les circonstances""","Cadre narratif spécifique : crise, urgence, comparaison implicite.",💡 Présent si Si le jugement varie selon le contexte présenté.,"""Dans un contexte de crise, cette mesure est acceptée."" / ""Face aux circonstances exceptionnelles, il faut agir différemment.""","""Cette mesure est logique quelle que soit la situation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de distinction,Exagération des différences entre options similaires lorsqu'elles sont évaluées ensemble.,L’esprit surestime des différences perçues entre des éléments similaires.,"""Comparer"", ""Différence marquée""",Mise en opposition artificielle entre deux options ou deux groupes.,💡 Présent si Si la comparaison simultanée rend deux options plus différentes.,"""Ces deux offres paraissent très différentes lorsqu'on les compare.""","""Ces deux options sont évaluées de manière neutre et comparable.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Loi de Weber-Fechner,Perception de la variation relative d'un stimulus dépendant de son intensité de départ.,L’impact d’un changement dépend de l’intensité initiale perçue.,"""Petite différence"", ""Changement imperceptible""",Évaluation de variations faibles ou imperceptibles dans un contexte quantitatif.,💡 Présent si Si la perception dépend de l'intensité initiale.,"""5% d'augmentation est perçue différemment selon le revenu initial.""","""Une variation identique est ressentie pareil quel que soit le point de départ.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet Peltzman (compensation du risque),Tendance à compenser des mesures de sécurité par des comportements plus risqués.,L’individu augmente son risque perçu quand des mesures de sécurité sont ajoutées.,"""Moins risqué"", ""Protégé""","Mention de protection, sécurité accrue ou comportement compensatoire.",💡 Présent si Si les mesures de sécurité augmentent les comportements risqués.,"""L'ABS incite certains conducteurs à rouler plus vite.""","""Les mesures de sécurité sont intégrées sans changement de comportement.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de retournement,Réaction opposée à l'effet escompté sous influence perçue.,Une injonction provoque une réaction inverse à celle attendue.,"""Se rebeller"", ""Réaction opposée""","Discours d’opposition, provocation ou d’inversion des normes.",💡 Présent si Si une pression ou une incitation produit l'effet contraire.,"""Face à la pression, il défend encore plus sa position.""","""Il suit naturellement la recommandation.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Saturation informationnelle,Effondrement de la capacité de traitement sous surcharge d'information.,,"""Trop d'informations"", ""Submergé""",,💡 Présent si Si la quantité d'information réduit la capacité décisionnelle.,"""Il n'a pas pu choisir face à l'abondance d'options.""","""Il traite calmement toutes les informations disponibles.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet d'espacement,Meilleure mémorisation par apprentissage réparti dans le temps.,,"""Sessions étalées"", ""Répétitions espacées""",,💡 Présent si Si l'espacement des sessions renforce la mémorisation.,"""Il retient mieux avec plusieurs sessions espacées.""","""Il mémorise aussi bien en apprenant tout d’un coup.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de suggestion,Altération des souvenirs sous l'effet de suggestions extérieures.,,"""On m'a dit que"", ""On suppose que""",,💡 Présent si Si des éléments suggérés modifient le souvenir.,"""Le témoin incorpore des détails induits par la question.""","""Le souvenir reste fidèle aux faits vécus.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de génération,Meilleure rétention d'une information quand elle est produite soi-même.,,"""Formuler soi-même"", ""Créer la réponse""",,💡 Présent si Si la génération active améliore la mémorisation.,"""Il retient mieux après avoir formulé ses propres réponses.""","""Il retient autant par lecture passive.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Stéréotype implicite,Activation automatique d'associations stéréotypées envers un groupe.,,"""Tous les mêmes"", ""Inconscient""",,💡 Présent si Si l'évaluation est influencée inconsciemment par un stéréotype.,"""Il pense inconsciemment que certains métiers conviennent à un groupe spécifique.""","""Il juge les individus sans stéréotypes implicites.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effacement négatif,Tendance à oublier préférentiellement les souvenirs négatifs.,,"""Oublier les mauvais moments""",,💡 Présent si Si les souvenirs négatifs disparaissent plus facilement.,"""Il se souvient surtout des aspects heureux d'une période difficile.""","""Il se rappelle autant des échecs que des réussites.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais d'omission,Tendance à juger moins sévèrement une action par omission qu'une action par commission.,,"""Ne rien faire"", ""Par défaut""",,💡 Présent si Si l'inaction est jugée plus acceptable qu'une action.,"""Laisser passer une faute semble moins grave que la commettre.""","""Omission et action sont jugées aussi graves.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de la route connue,Préférence pour les chemins déjà empruntés malgré des alternatives meilleures.,,"""Chemin habituel"", ""Solution éprouvée""",,💡 Présent si Si l'habitude prévaut sur l'optimalité.,"""Il choisit la route connue même si elle est plus longue.""","""Il évalue objectivement toutes les options.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de la somme nulle,Croyance que les gains des uns impliquent nécessairement les pertes des autres.,,"""Ce que l'un gagne, l'autre perd""",,💡 Présent si Si les situations coopératives sont perçues comme compétitives.,"""Il pense que si un collègue réussit, cela lui nuit.""","""Il considère les succès indépendamment des siens.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de normalité,Sous-estimation des événements extrêmes par projection de la continuité passée.,,"""Comme d'habitude"", ""Rien d'exceptionnel""",,💡 Présent si Si la stabilité passée est utilisée pour nier l'exceptionnel.,"""Il croit qu’une crise grave est improbable car jamais vécue.""","""Il reste conscient des risques inédits.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de confusion de source,Mauvaise attribution de la provenance d'un souvenir ou d'une information.,,"""Je crois que"", ""Quelqu'un a dit""",,💡 Présent si Si la source réelle est confondue avec une autre.,"""Il attribue une information lue sur internet à une source officielle.""","""Il distingue clairement l'origine des informations.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de la preuve anecdotique,Priorisation des témoignages personnels sur les données statistiques.,,"""J'ai vu"", ""Ça m'est arrivé""",,💡 Présent si Si un témoignage isolé prime sur la statistique globale.,"""Il croit qu'une solution marche car un ami l’a testée.""","""Il privilégie les études sérieuses aux anecdotes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Illusion des séries,Perception de motifs dans des séquences d'événements aléatoires.,,"""Série chanceuse"", ""Coup du sort""",,💡 Présent si Si des motifs sont vus dans du hasard pur.,"""Il croit à une tendance cachée après plusieurs succès consécutifs.""","""Il traite chaque événement comme indépendant.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de biais d'homogénéité de l'exogroupe,Perception exagérée de la similarité au sein d'un groupe extérieur.,,"""Ils sont tous pareils""",,💡 Présent si Si les nuances entre membres externes sont ignorées.,"""Il pense que tous les membres d'un autre groupe se ressemblent.""","""Il reconnaît les différences individuelles d'autres groupes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de retournement émotionnel,Amplification émotionnelle par rupture d'attente affective.,Une injonction provoque une réaction inverse à celle attendue.,"""Contre toute attente"", ""Déception forte""","Discours d’opposition, provocation ou d’inversion des normes.",💡 Présent si Si la rupture émotionnelle provoque une réaction disproportionnée.,"""Un espoir déçu renforce la colère.""","""Une déception est perçue calmement sans exagération émotionnelle.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de fausse mémoire,Création ou modification de souvenirs suite à des influences externes ou reconstructions mentales.,,"""Je suis sûr que"", ""Je me rappelle que""",,💡 Présent si Si un souvenir inexistant est affirmé avec confiance.,"""Il croit se souvenir d'un événement qui n'a jamais eu lieu.""","""Il reconnaît son incertitude sur ses souvenirs.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de confiance excessive,Surestimation de ses capacités ou connaissances réelles.,,"""Je suis sûr"", ""C'est évident""",,💡 Présent si Si la certitude dépasse la justesse réelle de manière systématique.,"""Il affirme des informations erronées avec assurance.""","""Il vérifie systématiquement ses certitudes.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet d'illusion de contrôle,Croyance exagérée de pouvoir influencer des événements incontrôlables.,,"""Grâce à moi"", ""Je contrôle cela""",,💡 Présent si Si une maîtrise est perçue là où il n'y en a pas.,"""Il pense influencer un tirage au sort par ses gestes.""","""Il reconnaît l’indépendance du résultat par rapport à ses actions.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet d'amorçage émotionnel,Modification du jugement suite à une stimulation émotionnelle préalable.,,"""Après cette ambiance"", ""Sous influence émotionnelle""",,💡 Présent si Si une émotion préalable oriente inconsciemment l'évaluation suivante.,"""Après avoir vu une scène triste, il juge plus sévèrement.""","""Son jugement reste stable quelle que soit l'ambiance précédente.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de simplification heuristique,Usage de raccourcis mentaux rapides pour évaluer des situations complexes.,,"""Raccourci"", ""Décision intuitive""",,💡 Présent si Si une décision complexe est résumée par une heuristique simple.,"""Il juge un risque uniquement par la peur qu'il inspire.""","""Il analyse rationnellement toutes les dimensions d'une décision.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet d'atténuation de l'alerte,Diminution de la vigilance face à un danger par absence d’incident visible.,,"""Pas grave"", ""Toujours rien""",,💡 Présent si Si la perception du risque baisse sans modification réelle de la menace.,"""Après plusieurs fausses alertes, il ignore les consignes.""","""Il reste prudent malgré l'absence d'événements.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais d'optimisme irréaliste,Tendance à croire que les événements négatifs arrivent plus aux autres qu'à soi.,,"""Ça n'arrive qu'aux autres""",,💡 Présent si Si l'estimation personnelle du risque est systématiquement inférieure à la moyenne.,"""Il croit qu'il est moins exposé aux accidents que la moyenne.""","""Il évalue objectivement son risque personnel.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de normalisation du déviant,Acceptation progressive de comportements déviants devenus fréquents.,,"""On s'y habitue"", ""C'est la norme maintenant""",,💡 Présent si Si une répétition d'écarts entraîne leur normalisation cognitive.,"""Des infractions répétées deviennent acceptées comme normales.""","""Il reste critique malgré la répétition des écarts.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais d'ancrage,Surestimation d'une première information donnée pour évaluer une situation ultérieure.,,"""Premier prix"", ""Référence initiale""",,💡 Présent si Présent si la première information influence le jugement final.,"""Une maison semble bon marché après avoir vu une maison plus chère.""","""Chaque maison est évaluée indépendamment.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de disponibilité,Juger la probabilité d'un événement selon la facilité avec laquelle des exemples nous viennent à l'esprit.,,"""On en entend parler"", ""Souvenir marquant""",,💡 Présent si Présent si l'accessibilité de l'exemple déforme la probabilité estimée.,"""Il surestime les risques d'accidents d’avion après un crash médiatisé.""","""Il évalue objectivement la probabilité.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de halo,Une impression générale influence l'évaluation des caractéristiques spécifiques.,,"""Belle apparence"", ""Bonne première impression""",,💡 Présent si Présent si une caractéristique influence l’ensemble du jugement.,"""Un employé bien habillé est perçu comme compétent.""","""Chaque qualité est évaluée séparément.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de simple exposition,Préférence pour un stimulus par exposition répétée sans interaction consciente.,,"""Déjà vu"", ""Connu""",,💡 Présent si Présent si la simple exposition augmente la préférence.,"""Un logo vu plusieurs fois paraît plus fiable.""","""Les préférences restent indépendantes de la fréquence d’exposition.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de récence,Meilleure mémorisation ou influence accrue des dernières informations reçues.,,"""Dernier argument"", ""Dernière impression""",,💡 Présent si Présent si l'information récente prime sur les précédentes.,"""Il se souvient surtout des derniers points abordés.""","""Toutes les informations sont traitées également.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de primauté,Meilleure mémorisation ou influence des premières informations reçues.,,"""Première impression"", ""Au départ""",,💡 Présent si Présent si les premières informations dominent la mémorisation ou l'impression.,"""Il se rappelle davantage des premiers éléments d’une liste.""","""Chaque information a la même pondération.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de confirmation,Recherche ou interprétation d’informations qui confirment ses croyances préexistantes.,,"""Confirmer ce que l'on pense"", ""Ignorer les contre-arguments""",,💡 Présent si Présent si l'attention et l'interprétation filtrent pour valider des croyances existantes.,"""Il lit uniquement des articles qui renforcent son opinion politique.""","""Il lit et considère des arguments opposés.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de négativité,Poids cognitif plus important donné aux expériences négatives qu’aux positives.,,"""Choc négatif"", ""Marqué par l’échec""",,💡 Présent si Présent si les éléments négatifs dominent émotionnellement et cognitivement.,"""Il retient plus une critique que dix compliments.""","""Il évalue positivement et négativement de manière équilibrée.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de contraste,Accentuation des différences perçues entre deux stimuli présentés successivement.,,"""Comparer juste après"", ""Opposition forte""",,💡 Présent si Présent si la perception est modifiée par contraste.,"""Une voiture ordinaire paraît luxueuse après en avoir vu une très vieille.""","""Chaque stimulus est évalué indépendamment.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet Von Restorff,Mémorisation accrue d'un élément distinctif au sein d'un ensemble homogène.,,"""Objet unique"", ""Élément qui ressort""",,💡 Présent si Présent si l'élément distinctif attire et renforce la mémorisation.,"""Un produit en packaging fluorescent est mieux retenu.""","""Tous les éléments sont mémorisés uniformément.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet Barnum (ou effet Forer),Wikipédia.,,Tendance à accepter des descriptions vagues et générales comme étant personnellement très précises.,,"💡 Présent si ""Horoscopes décrivant des traits de personnalité valables pour tous.""",Appropriation subjective d'énoncés génériques ,"""Vous êtes parfois réservé mais aussi sociable"", ""Vous traversez des périodes de doute.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet Dunning-Kruger,Wikipédia.,,"Biais selon lequel les personnes incompétentes surestiment leurs compétences, tandis que les personnes compétentes sous-estiment les leurs.",,"💡 Présent si ""Débutants se croyant experts dans un domaine technique.""",Surestimation de soi chez les moins compétents ,"""Confiance absolue en soi"", ""Je suis meilleur que tout le monde"", ""Pas besoin d'expert""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Biais de statu quo,"Préférence pour la situation actuelle, par peur ou par inertie, malgré de meilleures alternatives.",,"""Rester comme avant"", ""Ne pas changer""",,💡 Présent si Présent si la préférence pour l’état actuel l’emporte sur l’analyse objective.,"""Il garde un abonnement médiocre par peur du changement.""","""Il évalue les options sans préférence pour le statu quo.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de faux consensus,Surestimation du degré d'accord d'autrui avec nos propres opinions ou comportements.,,"""Tout le monde pense pareil"", ""Tout le monde fait ça""",,💡 Présent si Présent si l'individu projette ses propres croyances sur la majorité perçue.,"""Il croit que la majorité partage son avis.""","""Il reconnaît des divergences d'opinion facilement.""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
Effet de biais d'autocomplaisance,Wikipédia.,,Tendance à attribuer ses succès à ses qualités personnelles et ses échecs à des facteurs externes.,,"💡 Présent si ""Un étudiant explique son succès à un examen par son intelligence et son échec par la difficulté injuste du test.""","Attribution interne pour les réussites, attribution externe pour les échecs.","""J'ai réussi parce que je suis compétent"", ""C’est la faute des autres si j'ai échoué""",⚠️ Les indices linguistiques ne doivent jamais être utilisés seuls. Tu dois toujours vérifier si le schéma cognitif du biais est bien présent dans le contexte du titre.
